ticker,sector,ind,country,atr,ipo,index
"OILD","Financial","Exchange Traded Fund","USA","1.84",NULL,"0"
"USOD","Financial","Exchange Traded Fund","USA","0.45",NULL,"0"
"WTID","Financial","Exchange Traded Fund","USA","0.61",NULL,"0"
"CYAD","Healthcare","Biotechnology","Belgium","1.07",NULL,"0"
"DWT","Financial","Exchange Traded Fund","USA","0.61",NULL,"0"
"SYBX","Healthcare","Biotechnology","USA","0.34",NULL,"0"
"VBLT","Healthcare","Biotechnology","Israel","0.06","2014-10-01","0"
"PLMR","Financial","Property & Casualty Insurance","USA","1.85",NULL,"0"
"DTEA","Consumer Goods","Food - Major Diversified","Canada","0.12",NULL,"0"
"PCTI","Technology","Communication Equipment","USA","0.32","1999-08-10","0"
"JFU",,,,NULL,NULL,"0"
"AXLA","Healthcare","Biotechnology","USA","0.42",NULL,"0"
"VRML","Healthcare","Diagnostic Substances","USA","0.07","2000-10-02","0"
"CMT","Consumer Goods","Rubber & Plastics","USA","0.32","1988-09-16","0"
"DUST","Financial","Exchange Traded Fund","USA","0.68","2010-12-08","0"
"BDL","Services","Specialty Eateries","USA","0.58","1984-09-07","0"
"LOV","Technology","Internet Service Providers","USA","0.42","2006-02-14","0"
"BBBY","Services","Home Furnishing Stores","USA","0.55","1992-06-05","1"
"WORK","Technology","Application Software","USA","1.75",NULL,"0"
"BBW","Services","Toy & Hobby Stores","USA","0.28","2004-10-28","0"
"DSLV","Financial","Exchange Traded Fund","USA","1.19","2011-10-17","0"
"GIGM","Technology","Multimedia & Graphics Software","Taiwan","0.11","2000-02-18","0"
"WBAI","Services","Gaming Activities","China","0.55","2013-11-22","0"
"APEN","Healthcare","Medical Appliances & Equipment","USA","0.21",NULL,"0"
"ATOM","Technology","Semiconductor Equipment & Materials","USA","0.30",NULL,"0"
"RRD","Services","Business Services","USA","0.21","1985-07-01","0"
"CSU","Healthcare","Long-Term Care Facilities","USA","0.32","1997-10-31","0"
"RFL","Healthcare","Biotechnology","USA","1.30",NULL,"0"
"ARTL","Healthcare","Biotechnology","USA","0.23",NULL,"0"
"PBTS","Technology","Application Software","China","0.31",NULL,"0"
"URBN","Services","Apparel Stores","USA","1.10","1993-11-09","1"
"KZR","Healthcare","Biotechnology","USA","0.42",NULL,"0"
"CGIX","Healthcare","Biotechnology","USA","0.01","2013-04-05","0"
"CRR","Basic Materials","Oil & Gas Equipment & Services","USA","0.23","1996-04-23","0"
"AREX","Basic Materials","Independent Oil & Gas","USA","0.02","2007-11-08","0"
"MNK","Healthcare","Drugs - Generic","United Kingdom","0.67","2013-06-17","1"
"ALIM","Healthcare","Drug Manufacturers - Major","USA","0.05","2010-04-22","0"
"RTW","Services","Apparel Stores","USA","0.14",NULL,"0"
"JCS","Technology","Communication Equipment","USA","0.22","1990-03-26","0"
"DYNT","Healthcare","Medical Appliances & Equipment","USA","0.10","1994-04-25","0"
"DXLG","Services","Apparel Stores","USA","0.12","1992-02-25","0"
"DOGZ","Consumer Goods","Personal Products","China","0.17",NULL,"0"
"TMSR","Conglomerates","Conglomerates","China","0.17",NULL,"0"
"CVU","Industrial Goods","Aerospace/Defense Products & Services","USA","0.27","1993-02-19","0"
"OXBR","Financial","Property & Casualty Insurance","Cayman Islands","0.07","2014-03-27","0"
"TAT","Basic Materials","Oil & Gas Drilling & Exploration","USA","0.05","2007-04-09","0"
"XGN",,,,NULL,NULL,"0"
"IRIX","Healthcare","Medical Appliances & Equipment","USA","0.29","1996-02-16","0"
"XLSY",,,,NULL,NULL,"0"
"SDC",,,,NULL,NULL,"0"
"JE","Utilities","Diversified Utilities","Canada","0.19","2009-01-05","0"
"RGNX","Healthcare","Biotechnology","USA","2.62",NULL,"0"
"JMU","Technology","Internet Information Providers","China","0.11",NULL,"0"
"WGO","Consumer Goods","Recreational Vehicles","USA","1.54","1984-11-01","0"
"MLNT","Healthcare","Biotechnology","USA","0.32",NULL,"0"
"EROS","Services","Movie Production, Theaters","USA","0.21","2013-11-13","0"
"GSKY","Technology","Business Software & Services","USA","0.50",NULL,"0"
"BBIO","Healthcare","Biotechnology","USA","1.88",NULL,"0"
"NTRP","Healthcare","Biotechnology","USA","0.60",NULL,"0"
"MGTA","Healthcare","Biotechnology","USA","0.97",NULL,"0"
"STKS","Services","Restaurants","USA","0.16",NULL,"0"
"EEH","Financial","Exchange Traded Fund","USA","0.40","2007-08-02","0"
"SPHS","Healthcare","Biotechnology","USA","0.05","2010-06-09","0"
"NAOV",,,,NULL,NULL,"0"
"CRWS","Consumer Goods","Textile - Apparel Clothing","USA","0.16","2003-10-07","0"
"RMBL","Services","Specialty Retail, Other","USA","0.28",NULL,"0"
"USEG","Basic Materials","Independent Oil & Gas","USA","0.05","1990-03-26","0"
"VTVT","Healthcare","Biotechnology","USA","0.09",NULL,"0"
"FGBI","Financial","Regional - Southeast Banks","USA","0.64",NULL,"0"
"AMS","Healthcare","Specialized Health Services","USA","0.13","1984-09-07","0"
"CERS","Healthcare","Biotechnology","USA","0.21","1997-01-31","0"
"KOLD","Financial","Exchange Traded Fund","USA","1.47","2011-10-06","0"
"MKGI","Services","Marketing Services","USA","0.21",NULL,"0"
"BYSI","Healthcare","Biotechnology","USA","1.48",NULL,"0"
"INR","Financial","Exchange Traded Fund","USA","6.23","2008-03-18","0"
"TMDI","Healthcare","Medical Appliances & Equipment","Canada","0.17",NULL,"0"
"DDS","Services","Department Stores","USA","3.82","1989-06-30","0"
"AVTR","Basic Materials","Specialty Chemicals","USA","0.64",NULL,"0"
"AMTX","Basic Materials","Specialty Chemicals","USA","0.07","2014-06-06","0"
"AGRX","Healthcare","Drugs - Generic","USA","0.10","2014-05-23","0"
"TELL","Basic Materials","Oil & Gas Drilling & Exploration","USA","0.53",NULL,"0"
"DGLY","Technology","Scientific & Technical Instruments","USA","0.18","2007-05-16","0"
"NH","Technology","Healthcare Information Services","USA","0.07",NULL,"0"
"MEC","Industrial Goods","Metal Fabrication","USA","0.76",NULL,"0"
"OFED","Financial","Savings & Loans","USA","0.42","2011-01-14","0"
"ASNA","Services","Apparel Stores","USA","0.05","1990-03-26","0"
"ADES","Industrial Goods","Pollution & Treatment Controls","USA","0.44","2004-01-23","0"
"SCO","Financial","Exchange Traded Fund","USA","1.07","2008-11-25","0"
"SMSI","Technology","Application Software","USA","0.45","1995-09-19","0"
"JOBS","Services","Staffing & Outsourcing Services","China","2.78","2004-09-29","0"
"DTO","Financial","Exchange Traded Fund","USA","2.92","2008-06-17","0"
"BMRA","Healthcare","Medical Instruments & Supplies","USA","0.22",NULL,"0"
"ASPU","Services","Education & Training Services","USA","0.34",NULL,"0"
"KTCC","Technology","Computer Peripherals","USA","0.23","1990-03-26","0"
"XELA","Technology","Business Software & Services","USA","0.14",NULL,"0"
"ZUMZ","Services","Specialty Retail, Other","USA","1.34","2005-05-06","0"
"NRGO",,,,NULL,NULL,"0"
"HDSN","Industrial Goods","Diversified Machinery","USA","0.09","1994-11-02","0"
"CSS","Services","Specialty Retail, Other","USA","0.18","1992-03-17","0"
"CLIR","Industrial Goods","Pollution & Treatment Controls","USA","0.08","2012-04-25","0"
"AHPI","Healthcare","Medical Appliances & Equipment","USA","0.07","1992-01-14","0"
"REVG","Consumer Goods","Recreational Vehicles","USA","0.78",NULL,"0"
"KXIN","Conglomerates","Conglomerates","China","0.18",NULL,"0"
"SJT","Basic Materials","Independent Oil & Gas","USA","0.15","1987-10-29","0"
"MLPC","Financial","Exchange Traded Fund","USA","0.16","2013-09-26","0"
"ARCE","Technology","Application Software","Brazil","2.64",NULL,"0"
"CTXR","Healthcare","Biotechnology","USA","0.08",NULL,"0"
"FWP","Healthcare","Biotechnology","Denmark","0.07","2014-10-15","0"
"CPIX","Healthcare","Drug Manufacturers - Other","USA","0.30","2009-08-11","0"
"HIIQ","Healthcare","Health Care Plans","USA","1.30","2013-02-08","0"
"ODP","Services","Specialty Retail, Other","USA","0.12","1990-03-26","0"
"DDOG",,,,NULL,NULL,"0"
"PBPB","Services","Specialty Eateries","USA","0.27","2013-10-04","0"
"ZSL","Financial","Exchange Traded Fund","USA","1.22","2008-12-03","0"
"OCC","Technology","Communication Equipment","USA","0.22","1996-04-02","0"
"BEST","Services","Trucking","China","0.31","2007-09-04","0"
"TPX","Consumer Goods","Home Furnishings & Fixtures","USA","2.29","2003-12-18","0"
"SFIX","Services","Specialty Retail, Other","USA","1.18",NULL,"0"
"FGP","Basic Materials","Oil & Gas Refining & Marketing","USA","0.06","1994-06-28","0"
"ATRA","Healthcare","Biotechnology","USA","1.01","2014-10-16","0"
"OTLK","Healthcare","Biotechnology","USA","0.19",NULL,"0"
"KORU","Financial","Exchange Traded Fund","USA","0.67","2013-04-10","0"
"FTEK","Industrial Goods","Pollution & Treatment Controls","USA","0.07","1993-09-07","0"
"PLL","Basic Materials","Industrial Metals & Minerals","USA","0.43","1991-08-21","0"
"LEU","Basic Materials","Industrial Metals & Minerals","USA","0.15","1998-07-23","0"
"CLWT","Industrial Goods","Pollution & Treatment Controls","Hong Kong","0.19","1997-03-14","0"
"HSON","Services","Staffing & Outsourcing Services","USA","0.50","2003-03-18","0"
"OVID","Healthcare","Biotechnology","USA","0.21",NULL,"0"
"NVST",,,,NULL,NULL,"0"
"HAIR","Healthcare","Medical Appliances & Equipment","USA","0.05",NULL,"0"
"CWH","Financial","REIT - Office","USA","0.59","1988-01-05","0"
"PXLW","Technology","Semiconductor - Integrated Circuits","USA","0.16","2000-05-19","0"
"NAIL","Financial","Exchange Traded Fund","USA","2.47",NULL,"0"
"ISZE","Financial","Exchange Traded Fund","USA","0.20",NULL,"0"
"PRVL","Healthcare","Biotechnology","USA","1.19",NULL,"0"
"CELP","Basic Materials","Oil & Gas Equipment & Services","USA","0.37","2014-01-15","0"
"STRM","Technology","Healthcare Information Services","USA","0.14","1996-04-18","0"
"CVCO","Industrial Goods","Residential Construction","USA","6.50","2003-07-01","0"
"ICON","Consumer Goods","Textile - Apparel Footwear & Accessories","USA","0.19","1990-03-06","0"
"MDGS","Healthcare","Medical Appliances & Equipment","Israel","0.11",NULL,"0"
"STOK","Healthcare","Biotechnology","USA","2.85",NULL,"0"
"HEBT","Industrial Goods","Diversified Machinery","China","0.29",NULL,"0"
"ARPO","Healthcare","Biotechnology","USA","0.05",NULL,"0"
"AQST","Healthcare","Biotechnology","USA","0.32",NULL,"0"
"AVH","Services","Regional Airlines","Colombia","0.20","2013-11-06","0"
"DGLD","Financial","Exchange Traded Fund","USA","1.09","2011-10-17","0"
"LPL","Technology","Diversified Electronics","South Korea","0.16","2004-07-22","0"
"QADB","Technology","Application Software","USA","1.01","1997-08-06","0"
"RVP","Healthcare","Medical Instruments & Supplies","USA","0.04","2001-05-04","0"
"AMPE","Healthcare","Biotechnology","USA","0.03","2010-03-31","0"
"ARWR","Healthcare","Biotechnology","USA","1.82","1997-01-06","0"
"KBH","Industrial Goods","Residential Construction","USA","0.78","1987-11-05","0"
"HOV","Industrial Goods","Residential Construction","USA","1.20","1992-03-17","0"
"WWR","Basic Materials","Industrial Metals & Minerals","USA","0.35",NULL,"0"
"APM","Healthcare","Biotechnology","Hong Kong","0.91",NULL,"0"
"CTHR","Services","Jewelry Stores","USA","0.07","1997-11-14","0"
"VERY","Financial","Life Insurance","USA","2.03",NULL,"0"
"IO","Basic Materials","Oil & Gas Equipment & Services","USA","0.62","1991-04-02","0"
"BNGO","Healthcare","Medical Laboratories & Research","USA","0.28",NULL,"0"
"PING",,,,NULL,NULL,"0"
"AEZS","Healthcare","Biotechnology","Canada","0.16","2000-05-10","0"
"WF","Financial","Foreign Regional Banks","South Korea","0.65","2003-10-01","0"
"NEOG","Healthcare","Diagnostic Substances","USA","1.82","1994-02-10","0"
"LTS","Financial","Investment Brokerage - National","USA","0.16","1999-08-25","0"
"EXIV","Financial","Exchange Traded Fund","USA","1.48",NULL,"0"
"EDUC","Services","Publishing - Books","USA","0.24","1993-03-04","0"
"HCAT","Technology","Healthcare Information Services","USA","2.66",NULL,"0"
"EMMS","Services","Broadcasting - Radio","USA","0.15","1994-02-23","0"
"BW","Industrial Goods","Industrial Electrical Equipment","USA","0.25",NULL,"0"
"DGSE","Services","Jewelry Stores","USA","0.12","1992-03-19","0"
"MYSZ","Technology","Application Software","Israel","0.03",NULL,"0"
"AVID","Technology","Multimedia & Graphics Software","USA","0.45","1993-03-12","0"
"EDU","Services","Education & Training Services","China","3.31","2006-09-15","0"
"VNCE","Consumer Goods","Textile - Apparel Clothing","USA","0.75","2013-11-22","0"
"DCPH","Healthcare","Biotechnology","USA","2.28",NULL,"0"
"FSCT","Technology","Application Software","USA","1.45",NULL,"0"
"AGTC","Healthcare","Biotechnology","USA","0.30","2014-03-27","0"
"MYT","Basic Materials","Specialty Chemicals","China","0.04",NULL,"0"
"IEA","Conglomerates","Conglomerates","USA","0.37",NULL,"0"
"OIS","Basic Materials","Oil & Gas Equipment & Services","USA","0.85","2001-02-09","0"
"TH","Conglomerates","Conglomerates","USA","0.44",NULL,"0"
"DMPI","Healthcare","Biotechnology","Canada","0.12",NULL,"0"
"TZOO","Technology","Internet Information Providers","USA","0.77","2002-08-28","0"
"CAAS","Consumer Goods","Auto Parts","China","0.15","2003-10-07","0"
"TCCO","Technology","Communication Equipment","USA","0.18","1990-03-26","0"
"NEXT","Basic Materials","Independent Oil & Gas","USA","0.42",NULL,"0"
"PLAG","Consumer Goods","Processed & Packaged Goods","China","0.24",NULL,"0"
"BDRY","Financial","Exchange Traded Fund","USA","0.50",NULL,"0"
"USIO",,,,NULL,NULL,"0"
"DLHC","Services","Staffing & Outsourcing Services","USA","0.27","1995-08-18","0"
"SNBR","Consumer Goods","Home Furnishings & Fixtures","USA","1.68",NULL,"0"
"MMLP","Basic Materials","Oil & Gas Pipelines","USA","0.26","2002-11-01","0"
"PFPT","Technology","Application Software","USA","3.87","2012-04-20","0"
"BCRH","Financial","Property & Casualty Insurance","Bermuda","0.22","2013-11-06","0"
"SALM","Services","Broadcasting - Radio","USA","0.09","1999-07-01","0"
"XOMA","Healthcare","Biotechnology","USA","0.95","1989-04-05","0"
"AFH","Financial","Property & Casualty Insurance","USA","0.05","2013-02-12","0"
"LLEX","Basic Materials","Independent Oil & Gas","USA","0.03","2009-10-26","0"
"CCZ",,,,NULL,"1999-11-24","0"
"SRCI","Basic Materials","Industrial Metals & Minerals","USA","0.30",NULL,"0"
"FNHC","Financial","Property & Casualty Insurance","USA","0.65","1998-11-05","0"
"BNSO","Technology","Scientific & Technical Instruments","Hong Kong","0.16","1989-06-27","0"
"PRTO","Healthcare","Biotechnology","USA","0.03","2014-10-22","0"
"LYTS","Industrial Goods","Industrial Electrical Equipment","USA","0.29","1990-03-26","0"
"CARV","Financial","Savings & Loans","USA","0.15","1994-10-26","0"
"SPNS","Technology","Business Software & Services","Israel","0.57","1998-03-05","0"
"OBCI","Consumer Goods","Cleaning Products","USA","0.12","1995-07-13","0"
"PAM","Utilities","Electric Utilities","Argentina","1.77","2009-10-09","0"
"VRRM","Services","Security & Protection Services","USA","0.34",NULL,"0"
"VOLT",,,,NULL,NULL,"0"
"FLIO","Financial","Exchange Traded Fund","USA","0.41",NULL,"0"
"BBCP","Industrial Goods","General Building Materials","USA","0.34",NULL,"0"
"BFC",,,,NULL,NULL,"0"
"NPTN","Technology","Semiconductor - Broad Line","USA","0.28","2011-02-02","0"
"CHAP","Basic Materials","Independent Oil & Gas","USA","0.22",NULL,"0"
"NVEE","Services","Technical Services","USA","2.96","2013-09-30","0"
"FLL","Services","Resorts & Casinos","USA","0.10","1993-08-17","0"
"MICT","Industrial Goods","Aerospace/Defense - Major Diversified","USA","0.08","2012-10-17","0"
"RESN","Technology","Semiconductor - Integrated Circuits","USA","0.22","2014-05-29","0"
"ATV","Services","Catalog & Mail Order Houses","China","1.01","2007-05-03","0"
"CMC","Basic Materials","Steel & Iron","USA","0.68","1987-11-05","0"
"MIRM","Healthcare","Biotechnology","USA","1.19",NULL,"0"
"ARC","Services","Business Services","USA","0.11","2005-02-04","0"
"HZN","Services","Industrial Equipment Wholesale","USA","0.32",NULL,"0"
"CORE","Services","Food Wholesale","USA","1.08","2005-04-13","0"
"HTAB","Financial","Exchange Traded Fund","USA","0.10",NULL,"0"
"BOX","Technology","Application Software","USA","0.59","0000-00-00","0"
"KOOL","Healthcare","Medical Appliances & Equipment","USA","0.35","1995-08-18","0"
"DSS","Services","Business Services","USA","0.03","1997-01-03","0"
"HYRE","Services","Rental & Leasing Services","USA","0.27",NULL,"0"
"MDCO","Healthcare","Drugs - Generic","USA","2.01","2000-08-08","0"
"CELH","Consumer Goods","Beverages - Soft Drinks","USA","0.33","2007-01-22","0"
"REPL","Healthcare","Biotechnology","USA","0.77",NULL,"0"
"MFIN","Financial","Credit Services","USA","0.27",NULL,"0"
"DEST","Services","Apparel Stores","USA","0.11","1993-03-16","0"
"DYAI",,,,NULL,NULL,"0"
"ALOT","Technology","Computer Peripherals","USA","1.07","1984-09-07","0"
"LRAD","Technology","Scientific & Technical Instruments","USA","0.19","1997-05-09","0"
"SIFY","Technology","Internet Service Providers","India","0.05","1999-10-19","0"
"RES","Basic Materials","Oil & Gas Equipment & Services","USA","0.33","1987-12-30","0"
"XAIR","Healthcare","Medical Appliances & Equipment","USA","0.17",NULL,"0"
"MOSY","Technology","Semiconductor - Integrated Circuits","USA","0.29","2001-07-17","0"
"SRCL","Industrial Goods","Waste Management","USA","1.71","1996-08-23","1"
"TGNA","Services","Broadcasting - TV","USA","0.60",NULL,"1"
"MDRR",,,,NULL,NULL,"0"
"WSTG","Services","Computers Wholesale","USA","0.53","1995-07-18","0"
"ZTO","Services","Air Delivery & Freight Services","China","0.45",NULL,"0"
"PSNL","Healthcare","Biotechnology","USA","1.52",NULL,"0"
"CRI","Consumer Goods","Textile - Apparel Clothing","USA","3.05","2003-10-28","0"
"XON","Healthcare","Biotechnology","USA","0.43","2013-08-08","0"
"EPSN","Basic Materials","Independent Oil & Gas","USA","0.21",NULL,"0"
"EXPR","Services","Apparel Stores","USA","0.24","2010-05-13","0"
"JEF","Financial","Asset Management","USA","0.50",NULL,"0"
"WTT","Technology","Communication Equipment","USA","0.06","1993-05-24","0"
"CDNA","Services","Research Services","USA","1.57","2014-07-17","0"
"FOR","Financial","Real Estate Development","USA","0.73","2007-12-13","0"
"MTOR","Consumer Goods","Auto Parts","USA","0.80","2000-07-10","0"
"NTIC","Basic Materials","Specialty Chemicals","USA","0.52","1993-09-13","0"
"BLFS","Healthcare","Medical Instruments & Supplies","USA","0.97","1992-05-26","0"
"CCXI","Healthcare","Biotechnology","USA","0.47","2012-02-08","0"
"CEPU","Utilities","Electric Utilities","Argentina","0.43",NULL,"0"
"TRCH","Basic Materials","Oil & Gas Drilling & Exploration","USA","0.10","2010-11-08","0"
"UPLD","Technology","Application Software","USA","1.80","2014-11-06","0"
"RUN","Technology","Semiconductor - Specialized","USA","0.75",NULL,"0"
"AUTL","Healthcare","Biotechnology","United Kingdom","1.54",NULL,"0"
"APOP","Healthcare","Biotechnology","Israel","0.07",NULL,"0"
"GLOW","Technology","Diversified Communication Services","USA","0.10","1995-06-19","0"
"CIDM","Services","Entertainment - Diversified","USA","0.08","2003-11-10","0"
"ICPT","Healthcare","Biotechnology","USA","2.82","2012-10-11","0"
"RIOT","Technology","Application Software","USA","0.13",NULL,"0"
"DQ","Technology","Semiconductor Equipment & Materials","China","2.76","2010-10-07","0"
"HEAR","Technology","Communication Equipment","USA","0.55","2010-11-15","0"
"GWRE","Technology","Business Software & Services","USA","3.81","2012-01-25","0"
"ICD","Basic Materials","Oil & Gas Drilling & Exploration","USA","0.12","2014-08-08","0"
"KFFB","Financial","Savings & Loans","USA","0.22","2005-03-03","0"
"ALYA","Technology","Information Technology Services","Canada","0.10",NULL,"0"
"TRWH","Services","Resorts & Casinos","USA","0.76",NULL,"0"
"LB","Services","Apparel Stores","USA","0.98","1985-07-01","1"
"NVTR","Healthcare","Medical Appliances & Equipment","USA","0.25",NULL,"0"
"UTI","Services","Education & Training Services","USA","0.39","2003-12-18","0"
"MNTX","Industrial Goods","Diversified Machinery","USA","0.26","2005-02-15","0"
"CNF","Financial","Credit Services","China","0.18",NULL,"0"
"PBBI","Financial","Savings & Loans","USA","0.25",NULL,"0"
"PESI","Industrial Goods","Waste Management","USA","0.17","1995-08-18","0"
"IMH","Financial","Mortgage Investment","USA","0.56","1995-11-21","0"
"REGI","Basic Materials","Oil & Gas Refining & Marketing","USA","0.78","2012-01-19","0"
"CONN","Services","Electronics Stores","USA","1.32","2003-11-25","0"
"FPI","Financial","REIT - Diversified","USA","0.23","2014-04-11","0"
"UBOT","Financial","Exchange Traded Fund","USA","0.43",NULL,"0"
"ERI","Services","Resorts & Casinos","USA","1.75","2014-09-22","0"
"LUNA","Technology","Scientific & Technical Instruments","USA","0.40","2006-06-05","0"
"FTDR","Services","Business Services","USA","1.80",NULL,"0"
"SAM","Consumer Goods","Beverages - Brewers","USA","14.24","1995-11-21","0"
"GME","Services","Electronics Stores","USA","0.39","2002-02-13","0"
"AINC","Financial","Asset Management","USA","1.26","2014-11-17","0"
"HCSG","Services","Business Services","USA","0.72","1990-03-26","0"
"QBAK","Technology","Diversified Electronics","USA","0.28","2000-06-23","0"
"KIRK","Services","Home Furnishing Stores","USA","0.18","2002-07-30","0"
"DIN","Services","Restaurants","USA","2.41","1991-07-12","0"
"VERU","Healthcare","Drug Manufacturers - Other","USA","0.11",NULL,"0"
"PATI","Services","Trucking","USA","0.55",NULL,"0"
"NGL","Basic Materials","Oil & Gas Refining & Marketing","USA","0.48","2011-05-16","0"
"CFB",,,,NULL,NULL,"0"
"LARK","Financial","Regional - Southwest  Banks","USA","0.49","1994-03-28","0"
"PFIE","Basic Materials","Oil & Gas Equipment & Services","USA","0.09","2010-03-10","0"
"VRA","Consumer Goods","Textile - Apparel Footwear & Accessories","USA","0.65","2010-10-21","0"
"FUE","Financial","Exchange Traded Fund","USA","0.26","2008-02-15","0"
"AMWD","Consumer Goods","Home Furnishings & Fixtures","USA","3.21","1986-07-21","0"
"DZZ","Financial","Exchange Traded Fund","USA","0.12","2008-02-28","0"
"GRU","Financial","Exchange Traded Fund","USA","0.06","2008-02-15","0"
"AXGN","Healthcare","Medical Appliances & Equipment","USA","0.93","1990-03-27","0"
"SHI","Basic Materials","Oil & Gas Refining & Marketing","China","0.71","1993-07-26","0"
"RETL","Financial","Exchange Traded Fund","USA","1.44","2010-07-14","0"
"TEO","Technology","Diversified Communication Services","Argentina","0.79","1994-12-09","0"
"MDRX","Technology","Application Software","USA","0.34","1999-07-26","0"
"EVOP","Technology","Business Software & Services","USA","0.79",NULL,"0"
"TWLO","Technology","Application Software","USA","5.83",NULL,"0"
"LCII","Consumer Goods","Recreational Vehicles","USA","3.32",NULL,"0"
